2,35,24630
4,75,51530
3,48,32800
3,20,14090
4,54,37400
3,63,43360
2,50,34730
1,56,38730
12,27,19100
2,76,52600
3,126,87960
2,168,115170
1,94,64360
12,59,40650
11,26,18800
10,17,13040
9,20,14730
8,23,16390
9,32,22470
11,37,25860
12,88,60150
1,78,53370
2,33,23150
3,54,37680
4,58,39870
5,39,27070
6,25,18390
7,0,1100
8,0,1100
9,0,1100
10,0,1100
11,50,34410
12,99,67350
1,86,58940
2,80,54770
3,60,41420
4,29,20770
3,33,24250
12,49,35390
1,50,36630
2,51,37200
3,14,9810
4,18,13250
4,57,39330
5,34,23930
6,22,16110
7,18,13150
8,10,7530
9,25,17330
10,64,43910
11,55,37700
12,55,37700
1,50,34300
2,97,64400
3,85,58130
2,49,32840
4,12,8540
2,29,17950
3,62,42640
4,47,30200
4,106,70900
10,3,6510
11,38,31960
12,63,44020
3,73,52920
9,4,3550
4,27,18450
4,15,10220
4,22,14940
5,14,9510
5,19,12940
7,10,8200
7,4,3720
8,6,4120
6,7,4800
6,5,3500
6,11,7480
10,21,15780
10,24,16370
9,14,9620
8,2,2230
